paperID,title_pdftitle,title_pypdf2
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p97-dedonno.pdf,"Challenge: Towards Distributed RFID Sensing with Software-Defined Radio
",Challenge: towards distributed RFID sensing with software-defined radio
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p293-kim.pdf,"Sybot: An Adaptive and Mobile Spectrum Survey System for WiFi Networks
",Sybot: an adaptive and mobile spectrum survey system for wifi networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p377-sarkar.pdf,"Differential Forms for Target Tracking and Aggregate Queries in Distributed Networks
",Differential forms for target tracking and aggregate queries in distributed networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p125-chen.pdf,"SMS-Based Web Search for Low-end Mobile Devices
",SMS-based web search for low-end mobile devices
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p233-kokku.pdf,,NVS: a virtualization substrate for WiMAX networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p329-bai.pdf,"Toward Understanding Characteristics of Dedicated Short Range Communications (DSRC) From a Perspective of Vehicular Network Engineers
",Toward understanding characteristics of dedicated short range communications (DSRC) from a perspective of vehicular network engineers
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p353-zanetti.pdf,"Physical-layer Identiﬁcation of UHF RFID Tags
",Physical-layer identification of UHF RFID tags
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p113-dhananjay.pdf,"Hermes: Data Transmission over Unknown Voice Channels
",Hermes: data transmission over unknown voice channels
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p49-zhou.pdf,"ZiFi: Wireless LAN Discovery via ZigBee Interference Signatures
",ZiFi: wireless LAN discovery via ZigBee interference signatures
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p257-pefkianakis.pdf,"MIMO Rate Adaptation in 802.11n Wireless Networks
",MIMO rate adaptation in 802.11n wireless networks
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p13-wu.pdf,"Side Channel: Bits over Interference
",Side channel: bits over interference
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p209-liu.pdf,"Pushing the Envelope of Indoor Wireless Spatial Reuse using Directional Access Points and Clients
",Pushing the envelope of indoor wireless spatial reuse using directional access points and clients
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2010/p365-ryu.pdf,"Back-Pressure Routing and Rate Control for ICNs
",Back-pressure routing and rate control for ICNs
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p200-garetto.pdf,"Modeling Media Access in Embedded Two-Flow Topologies of Multi-hop Wireless Networks
",twoflow_final.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p228-chakravorty.pdf,"MoB: A Mobile Bazaar for Wide-area Wireless Services
",paper.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p16-miu.pdf,"Improving Loss Resilience with Multi-Radio Diversity in Wireless Networks
",paper.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p31-bicket.pdf,"Architecture and Evaluation of an Unplanned 802.11b Mesh Network
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p103-muthusamy.pdf,"Effects of Routing Computations in Content-Based Routing Networks with Mobile Data Sources
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p243-motani.pdf,"PeopleNet: Engineering A Wireless Virtual Social Network
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p270-wang.pdf,"Using Mobile Relays to Prolong the Lifetime of Wireless Sensor Networks
",mobicom_cam.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p1-li.pdf,"A Uniﬁed Energy-Efﬁcient Topology for Unicast and Broadcast
",
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p284-kumar.pdf,"Barrier Coverage With Wireless Sensors
",barrier-coverage-final.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p58-alicherry.pdf,"Joint Channel Assignment and Routing for Throughput Optimization in Multi-radio Wireless Mesh Networks
",paper.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p140-zhu.pdf,"Challenges: Communication through Silence in Wireless Sensor Networks
",cts.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p258-belotti.pdf,"Experimental Platform for Mobile Information Systems
",belotti-1568957941.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p117-zhong.pdf,,main.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p215-nogueira.pdf,"An Analytical Model for the Dimensioning of a GPRS/EDGE Network with a Capacity Constraint on a Group of Cells
",GN-mobicom2005.dvi
/Users/sherry/Google_Drive/transfer/subset2_4/SchRecSubset3/MobiCom/MobiCom2005/p299-shi.pdf,"Cross-Layer Optimization for Routing Data Trafﬁc in UWB-based Sensor Networks
",C:\shiyi\sensors\docs\submitted\Mobicom-JSAC\mobicom.dvi
